24- كم هو مقدار المشاكل التي تواجهها في الجثو/القرفصاء؟,10- لا مشاكل على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- مشاكل شديدة
25- كم هو مقدار قلقك من أن يزيد عملك من سوء حالتك في الورك؟,10- لا قلق على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- قلق شديد
26- كم هو مقدار المشاكل التي تواجهها في العمل بسبب قلة حركة الورك؟,10- لا صعوبة على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- صعوبة شديدة
: قلق اجتماعي وعاطفي وحول نمط الحياة -IV
الأسئلة التالية تسألك عن القلقات الاجتماعية والعاطفية ونمط الحياة التي قد تشعر بها فيما يتعلق بمشكلة الورك. يرجى التفكير في كيف شعرت في معظم الأوقات خلال الشهر الماضي والإجابة وفقًا لذلك.
27- كم تشعر بالإحباط بسبب مشكلة الورك؟,10- لا إحباط على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- إحباط شديد
28- كم هو مقدار المشاكل التي تواجهها في النشاط الجنسي بسبب وركك؟,X- هذا ليس ذا صلة بي,10- لا مشاكل على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- مشاكل شديدة
29- كم هو مقدار الإلهاء الذي تسببه لك مشكلة الورك؟,10- لا إلهاء على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- إلهاء شديد
30- كم هو مقدار الصعوبة التي تواجهها في التخلص من التوتر والضغط بسبب مشكلة الورك؟,10- لا صعوبة على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- صعوبة شديدة
31- كم تشعر بالإحباط بسبب مشكلة الورك؟,10- لا إحباط على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- إحباط شديد
32- كم هو مقدار القلق الذي تشعر به عند التقاط أو حمل الأطفال بسبب وركك؟,X- لا أفعل هذا الإجراء في أنشطتي,10- لا قلق على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- قلق شديد
33- كم من الوقت تكون مدركًا للإعاقة في وركك؟,10- غير مدرك على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- مدرك دائمًا
